Z	R	erro
11	0,000217	0,0000271
12	0,00162	0,00010
13	0,00270	0,000156
14	0,00410	0,000289
15	0,00647	0,000503
16	0,0105	0,000753
17	0,0167	0,00101
18	0,0259	0,00128
19	0,0386	0,00160
20	0,0555	0,00204
21	0,0773	0,00270
22	0,132908962	0,010369136
23	0,167555399	0,007395988
24	0,195561429	0,007374236
25	0,217450303	0,008535811
26	0,233745274	0,009556267
27	0,244969594	0,010077946
28	0,251646518	0,01011743
29	0,254299296	0,009819832
30	0,253451181	0,00938062
31	0,249625427	0,008999808
32	0,243345286	0,008823979
33	0,235134011	0,00888433
34	0,225514854	0,009080842
35	0,215011067	0,009233721
36	0,204145905	0,009161059
37	0,193442618	0,008756677
38	0,18342446	0,008114401
39	0,174614683	0,007803537
40	0,167536541	0,009063644
