Z	R	erro
29	0,000738629	6,59E-05
30	0,001607205	0,000114557
31	0,002271796	0,000166376
32	0,002804101	0,000187142
33	0,003268199	0,000187265
34	0,003720867	0,000180945
35	0,004211874	0,000182838
36	0,004784299	0,000202053
37	0,005474829	0,000237303
38	0,006314069	0,000281579
39	0,007326851	0,000328526
40	0,008532535	0,000374302
41	0,009945321	0,000417297
42	0,011574552	0,000457591
43	0,013425021	0,000496486
44	0,01549728	0,000536054
45	0,017787944	0,000578633
46	0,020289997	0,000626297
47	0,022993102	0,000680414
48	0,025883905	0,00074139
49	0,028946342	0,00080867
50	0,032161945	0,000880926
51	0,03551015	0,000956348
52	0,038968602	0,001032953
53	0,042513464	0,001108861
54	0,04611972	0,001182543
55	0,049761484	0,001253025
56	0,053412307	0,001320085
57	0,057045481	0,001384404
58	0,060634348	0,00144768
59	0,064152607	0,001512649
60	0,067574616	0,001582967
61	0,070875705	0,001662902
62	0,074032478	0,001756816
63	0,077023121	0,001868501
64	0,079827709	0,002000496
65	0,082428512	0,002153556
66	0,0848103	0,002326367
67	0,086960655	0,002515536
68	0,08887027	0,002715745
69	0,090533261	0,002920003
70	0,091947471	0,003119905
71	0,09311478	0,0033059
72	0,094041405	0,003467597
73	0,094738215	0,003594191
74	0,095221029	0,003675151
75	0,09551093	0,003701463
76	0,095634567	0,003667963
77	0,095624462	0,00357783
78	0,095519319	0,003451243
79	0,095364327	0,003340675
80	0,095211471	0,003349981
81	0,095119835	0,003631785
82	0,095155908	0,004326853
